name|speaker|orth|translation|start|end
d2e656de0bda-39|Signer01|in the windows color the pictures|in the windows color the pictures|-1|-1
d2e656de0bda-45|Signer01|where the baby is sleeping you see them all|where the baby is sleeping you see them all|-1|-1
ed5590797795-17|Signer01|for an open space|for an open space|-1|-1
ed5590797795-51|Signer01|do you like to fly kite|do you like to fly kite|-1|-1
ed5590797795-78|Signer01|with its young ones inside|with its young ones inside|-1|-1
ed5590797795-104|Signer01|connect the dots to complete each and every word|connect the dots to complete each and every word|-1|-1
ed5590797795-105|Signer01|and again follow the same pattern for the next line|and again follow the same pattern for the next line|-1|-1
2f9740e42167-63|Signer01|can you guess what are they|can you guess what are they|-1|-1
2f9740e42167-94|Signer01|here is a picture of a hand|here is a picture of a hand|-1|-1
2f9740e42167-95|Signer01|join the dots to write a hand page number|join the dots to write a hand page number|-1|-1
2f9740e42167-109|Signer01|there is a dog|there is a dog|-1|-1
2f9740e42167-112|Signer01|to the teacher make the children understand that|to the teacher make the children understand that|-1|-1
d5d9a14756d5-25|Signer01|looking behind me after every two or three steps|looking behind me after every two or three steps|-1|-1
d5d9a14756d5-58|Signer01|my fear returned i went home again|my fear returned i went home again|-1|-1
d5d9a14756d5-97|Signer01|in a town c|in a town c|-1|-1
d5d9a14756d5-134|Signer01|what happened then|what happened then|-1|-1
d5d9a14756d5-174|Signer01|have a conversation with your partner|have a conversation with your partner|-1|-1
1e9591008a0d-3|Signer01|read and enjoy this story|read and enjoy this story|-1|-1
1e9591008a0d-25|Signer01|let be friends again|let be friends again|-1|-1
1e9591008a0d-48|Signer01|when you are angry|when you are angry|-1|-1
1e9591008a0d-88|Signer01|there an apple|there an apple|-1|-1
1e9591008a0d-96|Signer01|similarly in the second one|similarly in the second one|-1|-1
43a0131cb836-25|Signer01|i must not hit anyone|i must not hit anyone|-1|-1
43a0131cb836-52|Signer01|here in a picture you can see a lion standing next to a tiger|here in a picture you can see a lion standing next to a tiger|-1|-1
43a0131cb836-68|Signer01|dash trace the dots|dash trace the dots|-1|-1
43a0131cb836-79|Signer01|follow the same pattern for each and every line|follow the same pattern for each and every line|-1|-1
43a0131cb836-82|Signer01|what are the cat and mouse saying|what are the cat and mouse saying|-1|-1
0fb8102d6c95-8|Signer01|i said to the man as he went by|i said to the man as he went by|-1|-1
0fb8102d6c95-10|Signer01|will you come with me no|will you come with me no|-1|-1
0fb8102d6c95-13|Signer01|where are you going to horse today|where are you going to horse today|-1|-1
0fb8102d6c95-15|Signer01|down to the village|down to the village|-1|-1
0fb8102d6c95-95|Signer01|dash dash dash|dash dash dash|-1|-1
18dc64c3380a-4|Signer01|who has the most fun|who has the most fun|-1|-1
18dc64c3380a-16|Signer01|but boys and girls have much more fun|but boys and girls have much more fun|-1|-1
18dc64c3380a-31|Signer01|match the words in column a with those|match the words in column a with those|-1|-1
18dc64c3380a-32|Signer01|in column b|in column b|-1|-1
18dc64c3380a-54|Signer01|from slow to fast run|from slow to fast run|-1|-1
1f1bb4e3121b-10|Signer01|was a little village|was a little village|-1|-1
1f1bb4e3121b-35|Signer01|suddenly he heard a voice calling out|suddenly he heard a voice calling out|-1|-1
1f1bb4e3121b-108|Signer01|match the words in the box with their meaning|match the words in the box with their meaning|-1|-1
1f1bb4e3121b-165|Signer01|work in groups of 5|work in groups of 5|-1|-1
1f1bb4e3121b-167|Signer01|what were the strange things about the men on the mountains|what were the strange things about the men on the mountains|-1|-1
d92ec3de5035-25|Signer01|what was the lion doing 3|what was the lion doing 3|-1|-1
d92ec3de5035-26|Signer01|what was the little mouse doing 4|what was the little mouse doing 4|-1|-1
d92ec3de5035-31|Signer01|what did the lion say when he was free|what did the lion say when he was free|-1|-1
d92ec3de5035-37|Signer01|let try this 2|let try this 2|-1|-1
d92ec3de5035-47|Signer01|and after that we have|and after that we have|-1|-1
5a1348dfe236-9|Signer01|says the moon|says the moon|-1|-1
5a1348dfe236-24|Signer01|1 the little clock|1 the little clock|-1|-1
5a1348dfe236-38|Signer01|now here is a picture of the school|now here is a picture of the school|-1|-1
5a1348dfe236-65|Signer01|29 days in february month|29 days in february month|-1|-1
5a1348dfe236-84|Signer01|with 29 days|with 29 days|-1|-1
c336d8d84dc2-1|Signer01|page number 75|page number 75|-1|-1
c336d8d84dc2-13|Signer01|should i call your father|should i call your father|-1|-1
c336d8d84dc2-30|Signer01|2 write the color of the object|2 write the color of the object|-1|-1
c336d8d84dc2-33|Signer01|find out what colour is this|find out what colour is this|-1|-1
c336d8d84dc2-42|Signer01|and have you seen sun|and have you seen sun|-1|-1
4c422e10f21d-15|Signer01|new words learned from this poem|new words learned from this poem|-1|-1
4c422e10f21d-31|Signer01|fill in the box with the right colour|fill in the box with the right colour|-1|-1
4c422e10f21d-52|Signer01|when you get hurt how do you feel|when you get hurt how do you feel|-1|-1
4c422e10f21d-79|Signer01|now connect the dots to make a circle|now connect the dots to make a circle|-1|-1
4c422e10f21d-101|Signer01|the following have lost their babies|the following have lost their babies|-1|-1
99218fd19f71-48|Signer01|page 11 say aloud|page 11 say aloud|-1|-1
99218fd19f71-49|Signer01|2 2 3 4 5 6 now let draw|2 2 3 4 5 6 now let draw|-1|-1
99218fd19f71-55|Signer01|there are farm animals water animals|there are farm animals water animals|-1|-1
99218fd19f71-57|Signer01|help the animals reach their homes|help the animals reach their homes|-1|-1
99218fd19f71-75|Signer01|hello hello says the child|hello hello says the child|-1|-1
c02914d169b6-2|Signer01|poem a happy child|poem a happy child|-1|-1
c02914d169b6-17|Signer01|read the poem story allow to the children|read the poem story allow to the children|-1|-1
c02914d169b6-44|Signer01|me my so|me my so|-1|-1
c02914d169b6-47|Signer01|i am a teacher|i am a teacher|-1|-1
c02914d169b6-59|Signer01|let each group make a house|let each group make a house|-1|-1
117db0aadb7a-7|Signer01|and two wet legs|and two wet legs|-1|-1
117db0aadb7a-22|Signer01|how do you dry yourself|how do you dry yourself|-1|-1
117db0aadb7a-50|Signer01|there is a list of names bat|there is a list of names bat|-1|-1
117db0aadb7a-57|Signer01|then complete the sentences and say them loud|then complete the sentences and say them loud|-1|-1
117db0aadb7a-71|Signer01|learn to write now|learn to write now|-1|-1
83b6ac4a3d19-15|Signer01|a feeling of success for all the children|a feeling of success for all the children|-1|-1
83b6ac4a3d19-47|Signer01|group red let them say|group red let them say|-1|-1
83b6ac4a3d19-61|Signer01|on the walls|on the walls|-1|-1
83b6ac4a3d19-62|Signer01|on the trees|on the trees|-1|-1
83b6ac4a3d19-71|Signer01|and 1 to 10|and 1 to 10|-1|-1
77e29639c256-36|Signer01|she is feeling happy|she is feeling happy|-1|-1
77e29639c256-43|Signer01|to draw k|to draw k|-1|-1
77e29639c256-49|Signer01|yes now you can see a rat|yes now you can see a rat|-1|-1
77e29639c256-53|Signer01|f for fish|f for fish|-1|-1
77e29639c256-109|Signer01|here you can see pictures of the word said|here you can see pictures of the word said|-1|-1
2011b172755b-8|Signer01|he ate it up oh no|he ate it up oh no|-1|-1
2011b172755b-21|Signer01|let read i love plants|let read i love plants|-1|-1
2011b172755b-30|Signer01|what are the other things|what are the other things|-1|-1
2011b172755b-54|Signer01|to complete the red rose|to complete the red rose|-1|-1
2011b172755b-61|Signer01|red plus blue is purple|red plus blue is purple|-1|-1
7cd20394895c-29|Signer01|new words learnt from the story|new words learnt from the story|-1|-1
7cd20394895c-33|Signer01|i like eating a mango|i like eating a mango|-1|-1
7cd20394895c-52|Signer01|here in this picture you can see the lady bird|here in this picture you can see the lady bird|-1|-1
7cd20394895c-67|Signer01|draw over the dotted lines|draw over the dotted lines|-1|-1
7cd20394895c-69|Signer01|trace over the dotted lines to finish the picture|trace over the dotted lines to finish the picture|-1|-1
4b41f9df012f-13|Signer01|match the pictures with the words|match the pictures with the words|-1|-1
4b41f9df012f-51|Signer01|say the names of vegetables and fruits that you know|say the names of vegetables and fruits that you know|-1|-1
4b41f9df012f-77|Signer01|write the sentences on the board|write the sentences on the board|-1|-1
4b41f9df012f-94|Signer01|trace along the dotted lines|trace along the dotted lines|-1|-1
4b41f9df012f-108|Signer01|page number 20|page number 20|-1|-1
d494f4d97eb5-3|Signer01|who am i i am|who am i i am|-1|-1
d494f4d97eb5-9|Signer01|1 one by one say your names 2 sit|1 one by one say your names 2 sit|-1|-1
d494f4d97eb5-14|Signer01|play the game with them page number|play the game with them page number|-1|-1
d494f4d97eb5-15|Signer01|21 let try this|21 let try this|-1|-1
d494f4d97eb5-28|Signer01|page number 22 small letter t|page number 22 small letter t|-1|-1
a6301b463ff0-23|Signer01|the king lives here|the king lives here|-1|-1
a6301b463ff0-31|Signer01|off we are|off we are|-1|-1
a6301b463ff0-43|Signer01|in the end|in the end|-1|-1
a6301b463ff0-73|Signer01|second one is fall start|second one is fall start|-1|-1
a6301b463ff0-96|Signer01|lives here the|lives here the|-1|-1
39b5990995ba-3|Signer01|this is your page|this is your page|-1|-1
39b5990995ba-15|Signer01|for classroom teaching|for classroom teaching|-1|-1
39b5990995ba-21|Signer01|read the story aloud slowly|read the story aloud slowly|-1|-1
39b5990995ba-32|Signer01|when the rain is falling|when the rain is falling|-1|-1
39b5990995ba-50|Signer01|new words about 10 each week|new words about 10 each week|-1|-1
43043aa04251-74|Signer01|fill in the blanks using the correct given words|fill in the blanks using the correct given words|-1|-1
43043aa04251-91|Signer01|the line is in the|the line is in the|-1|-1
43043aa04251-115|Signer01|but the water is dash 6|but the water is dash 6|-1|-1
43043aa04251-139|Signer01|to send information and the eyes to receive them|to send information and the eyes to receive them|-1|-1
43043aa04251-142|Signer01|is a part of total communication method used with people who are hard of hearing|is a part of total communication method used with people who are hard of hearing|-1|-1
d80b02f1b480-11|Signer01|into my bed|into my bed|-1|-1
d80b02f1b480-38|Signer01|4 read the lines from the poem and answer the following|4 read the lines from the poem and answer the following|-1|-1
d80b02f1b480-76|Signer01|touch a flower|touch a flower|-1|-1
d80b02f1b480-83|Signer01|i saw many houses blank|i saw many houses blank|-1|-1
d80b02f1b480-90|Signer01|the poem blank|the poem blank|-1|-1
6422c75b4261-6|Signer01|we were both very happy|we were both very happy|-1|-1
6422c75b4261-34|Signer01|i picked some books|i picked some books|-1|-1
6422c75b4261-40|Signer01|it was very quiet there was no sound one hour passed|it was very quiet there was no sound one hour passed|-1|-1
6422c75b4261-84|Signer01|tell the class|tell the class|-1|-1
6422c75b4261-102|Signer01|blank b i shall blank c i shall blank d i shall|blank b i shall blank c i shall blank d i shall|-1|-1
9f1c001437d8-17|Signer01|2 as shown in the picture|2 as shown in the picture|-1|-1
9f1c001437d8-46|Signer01|do you know|do you know|-1|-1
9f1c001437d8-48|Signer01|2000 years ago in india|2000 years ago in india|-1|-1
9f1c001437d8-59|Signer01|enjoy and read the poem|enjoy and read the poem|-1|-1
9f1c001437d8-64|Signer01|read about history go back in time|read about history go back in time|-1|-1
831fec5793da-18|Signer01|who is mr nobody|who is mr nobody|-1|-1
831fec5793da-45|Signer01|one a mouse ran into the house|one a mouse ran into the house|-1|-1
831fec5793da-50|Signer01|make groups of five children each|make groups of five children each|-1|-1
831fec5793da-67|Signer01|dash r m s|dash r m s|-1|-1
831fec5793da-81|Signer01|write your mother name as ram did|write your mother name as ram did|-1|-1
dac1fcc8319a-88|Signer01|came to visit us on monday|came to visit us on monday|-1|-1
dac1fcc8319a-91|Signer01|the man is running and the dash is walking|the man is running and the dash is walking|-1|-1
dac1fcc8319a-102|Signer01|and is the winner|and is the winner|-1|-1
dac1fcc8319a-132|Signer01|let find out what happens|let find out what happens|-1|-1
dac1fcc8319a-159|Signer01|to complete the sentence get up early in the morning|to complete the sentence get up early in the morning|-1|-1
8cfebb40f2b9-25|Signer01|was too soft but the tiny little bed was just right|was too soft but the tiny little bed was just right|-1|-1
8cfebb40f2b9-45|Signer01|when i am hungry i eat a lot|when i am hungry i eat a lot|-1|-1
8cfebb40f2b9-80|Signer01|now form them into sentences of your own|now form them into sentences of your own|-1|-1
8cfebb40f2b9-86|Signer01|to see what he could see see see|to see what he could see see see|-1|-1
8cfebb40f2b9-93|Signer01|look at what they did|look at what they did|-1|-1
fb456e054e47-19|Signer01|now imagine and write|now imagine and write|-1|-1
fb456e054e47-38|Signer01|read out the text to them|read out the text to them|-1|-1
fb456e054e47-54|Signer01|what is the younger girl doing|what is the younger girl doing|-1|-1
fb456e054e47-102|Signer01|you see the pictures and complete the boxes|you see the pictures and complete the boxes|-1|-1
fb456e054e47-105|Signer01|you can see animals like cow|you can see animals like cow|-1|-1
809a3a5e02d1-12|Signer01|the baby may not live|the baby may not live|-1|-1
809a3a5e02d1-21|Signer01|give the poor child what she wants|give the poor child what she wants|-1|-1
809a3a5e02d1-54|Signer01|she understood that words were the most important things in the world|she understood that words were the most important things in the world|-1|-1
809a3a5e02d1-105|Signer01|d she was kind|d she was kind|-1|-1
809a3a5e02d1-121|Signer01|in second column option always is given|in second column option always is given|-1|-1
2b2718e10f2f-49|Signer01|list as many summer activities as you can the space is given below 4|list as many summer activities as you can the space is given below 4|-1|-1
2b2718e10f2f-51|Signer01|you have the following space|you have the following space|-1|-1
2b2718e10f2f-79|Signer01|find out and write a report|find out and write a report|-1|-1
2b2718e10f2f-156|Signer01|you have a space below page 9|you have a space below page 9|-1|-1
2b2718e10f2f-159|Signer01|the ice cream from north india|the ice cream from north india|-1|-1
f8fc65200887-30|Signer01|to play cricket we need|to play cricket we need|-1|-1
f8fc65200887-43|Signer01|words from the poem|words from the poem|-1|-1
f8fc65200887-114|Signer01|page 26 2|page 26 2|-1|-1
f8fc65200887-116|Signer01|and as a group|and as a group|-1|-1
f8fc65200887-170|Signer01|cannot - cannot|cannot - cannot|-1|-1
9b0136913690-5|Signer01|ruled over a large kingdom|ruled over a large kingdom|-1|-1
9b0136913690-66|Signer01|he could not help talking|he could not help talking|-1|-1
9b0136913690-76|Signer01|be quick and finish your work|be quick and finish your work|-1|-1
9b0136913690-104|Signer01|a sweet dish served after the main meal|a sweet dish served after the main meal|-1|-1
9b0136913690-115|Signer01|write true or false one|write true or false one|-1|-1
b005df5e411b-12|Signer01|she a nobody friend|she a nobody friend|-1|-1
b005df5e411b-38|Signer01|can you describe him or her|can you describe him or her|-1|-1
b005df5e411b-55|Signer01|the word never|the word never|-1|-1
b005df5e411b-57|Signer01|here are some other no words read them nobody|here are some other no words read them nobody|-1|-1
b005df5e411b-100|Signer01|you are a true friend|you are a true friend|-1|-1
3a6cfc943757-4|Signer01|what would you call such a child|what would you call such a child|-1|-1
3a6cfc943757-31|Signer01|he would eat it all by himself|he would eat it all by himself|-1|-1
3a6cfc943757-81|Signer01|on the right answer|on the right answer|-1|-1
3a6cfc943757-83|Signer01|because he would not talk to anyone 3|because he would not talk to anyone 3|-1|-1
3a6cfc943757-88|Signer01|many friends two|many friends two|-1|-1
ac7d5b8ebe26-7|Signer01|when it is happy|when it is happy|-1|-1
ac7d5b8ebe26-8|Signer01|here is our national flag|here is our national flag|-1|-1
ac7d5b8ebe26-17|Signer01|is dark blue|is dark blue|-1|-1
ac7d5b8ebe26-59|Signer01|first one that is done for you is|first one that is done for you is|-1|-1
ac7d5b8ebe26-77|Signer01|this animal lives in the desert|this animal lives in the desert|-1|-1
817976f7db2d-1|Signer01|lesson number 14 poem|lesson number 14 poem|-1|-1
817976f7db2d-20|Signer01|find six colors in the grid given below|find six colors in the grid given below|-1|-1
817976f7db2d-45|Signer01|what is this the answer is a bird|what is this the answer is a bird|-1|-1
817976f7db2d-59|Signer01|what is green answer|what is green answer|-1|-1
817976f7db2d-65|Signer01|page number 60 7|page number 60 7|-1|-1
0726445c45f9-15|Signer01|what about those lovely white shoes you saw last week|what about those lovely white shoes you saw last week|-1|-1
0726445c45f9-69|Signer01|page 19 write|page 19 write|-1|-1
0726445c45f9-72|Signer01|dash four dash five|dash four dash five|-1|-1
0726445c45f9-75|Signer01|would you like to have birds visiting you every day|would you like to have birds visiting you every day|-1|-1
0726445c45f9-108|Signer01|a dash rose|a dash rose|-1|-1
98f6b084cc67-13|Signer01|to a happy life|to a happy life|-1|-1
98f6b084cc67-28|Signer01|it is spoken in karnataka|it is spoken in karnataka|-1|-1
98f6b084cc67-30|Signer01|the people of assam speak this language|the people of assam speak this language|-1|-1
98f6b084cc67-33|Signer01|you can hear this spoken in maharashtra|you can hear this spoken in maharashtra|-1|-1
98f6b084cc67-36|Signer01|the people of kerala speak this language 6|the people of kerala speak this language 6|-1|-1
8957c2f13262-3|Signer01|actions we do|actions we do|-1|-1
8957c2f13262-11|Signer01|and here in this picture|and here in this picture|-1|-1
8957c2f13262-32|Signer01|this is my nose this is my hair|this is my nose this is my hair|-1|-1
8957c2f13262-38|Signer01|these are my hands|these are my hands|-1|-1
8957c2f13262-39|Signer01|to the teacher help the children say the sentences|to the teacher help the children say the sentences|-1|-1
a7eab839fcdc-7|Signer01|sing with me today wave your hand and clap clap clap clap clap clap clap|sing with me today wave your hand and clap clap clap clap clap clap clap|-1|-1
a7eab839fcdc-17|Signer01|and clap clap clap clap clap clap|and clap clap clap clap clap clap|-1|-1
a7eab839fcdc-18|Signer01|clap clap clap turn around|clap clap clap turn around|-1|-1
a7eab839fcdc-24|Signer01|in the poem 4|in the poem 4|-1|-1
a7eab839fcdc-27|Signer01|and make the children repeat it after you help them on the line|and make the children repeat it after you help them on the line|-1|-1
e90d992d5756-2|Signer01|hello it is morning|hello it is morning|-1|-1
e90d992d5756-7|Signer01|it is evening|it is evening|-1|-1
e90d992d5756-12|Signer01|and go to bed|and go to bed|-1|-1
e90d992d5756-57|Signer01|in the following sentences|in the following sentences|-1|-1
e90d992d5756-101|Signer01|listen to the teacher and tick the word|listen to the teacher and tick the word|-1|-1
3b43e5cc0495-10|Signer01|it is just like new|it is just like new|-1|-1
3b43e5cc0495-11|Signer01|i am a traffic police woman|i am a traffic police woman|-1|-1
3b43e5cc0495-12|Signer01|i stand just so|i stand just so|-1|-1
3b43e5cc0495-14|Signer01|telling cars to go|telling cars to go|-1|-1
3b43e5cc0495-23|Signer01|on the left side we have pictures of|on the left side we have pictures of|-1|-1
a008d40f8e85-20|Signer01|if the sea is blue|if the sea is blue|-1|-1
a008d40f8e85-27|Signer01|how did you feel angry|how did you feel angry|-1|-1
a008d40f8e85-31|Signer01|who was the first friend you made|who was the first friend you made|-1|-1
a008d40f8e85-89|Signer01|dash to school|dash to school|-1|-1
a008d40f8e85-91|Signer01|dash with prince|dash with prince|-1|-1
c85ff6c14be3-20|Signer01|not if you ride on my back if you climb on my back|not if you ride on my back if you climb on my back|-1|-1
c85ff6c14be3-29|Signer01|i love books too|i love books too|-1|-1
c85ff6c14be3-32|Signer01|found that you could see so many things from the top|found that you could see so many things from the top|-1|-1
c85ff6c14be3-47|Signer01|how do you go to school what do you wear to school|how do you go to school what do you wear to school|-1|-1
c85ff6c14be3-62|Signer01|circle and lines and color them|circle and lines and color them|-1|-1
29e7bf42fd88-7|Signer01|this play is based on the famous story in hindi|this play is based on the famous story in hindi|-1|-1
29e7bf42fd88-13|Signer01|3 brothers aged 9 and 14 years|3 brothers aged 9 and 14 years|-1|-1
29e7bf42fd88-20|Signer01|when will you study|when will you study|-1|-1
29e7bf42fd88-26|Signer01|sometimes it takes me two years to do one year work|sometimes it takes me two years to do one year work|-1|-1
29e7bf42fd88-38|Signer01|cannot you sit down and study|cannot you sit down and study|-1|-1
b43a1342f8f5-44|Signer01|i remember you and baba a lot|i remember you and baba a lot|-1|-1
b43a1342f8f5-71|Signer01|this was because they had to work hard but were never given enough to eat|this was because they had to work hard but were never given enough to eat|-1|-1
b43a1342f8f5-112|Signer01|remove the last two letters|remove the last two letters|-1|-1
b43a1342f8f5-142|Signer01|2 choose the correct word and|2 choose the correct word and|-1|-1
b43a1342f8f5-184|Signer01|you may then present it in the class|you may then present it in the class|-1|-1
soTXzil_LzI--170|Signer01|she wanted justice 3|she wanted justice 3|-1|-1
soTXzil_LzI--172|Signer01|the condition was that he would be responsible for her welfare 5|the condition was that he would be responsible for her welfare 5|-1|-1
soTXzil_LzI--267|Signer01|i do have some close friends though|i do have some close friends though|-1|-1
soTXzil_LzI--268|Signer01|but i have no choice|but i have no choice|-1|-1
soTXzil_LzI--285|Signer01|8 do you like reading|8 do you like reading|-1|-1
a0GJqWQf2so--72|Signer01|part of the story|part of the story|-1|-1
a0GJqWQf2so--77|Signer01|quite often he would just walk into tansen house to hear him practice|quite often he would just walk into tansen house to hear him practice|-1|-1
a0GJqWQf2so--85|Signer01|how will that help us how will that help us|how will that help us how will that help us|-1|-1
a0GJqWQf2so--101|Signer01|very well my lord he said|very well my lord he said|-1|-1
a0GJqWQf2so--162|Signer01|part b did his plan work and how|part b did his plan work and how|-1|-1
jDy4C7B8OwI--75|Signer01|in the bottom of this page a picture is shown|in the bottom of this page a picture is shown|-1|-1
jDy4C7B8OwI--99|Signer01|100 to 200 meters|100 to 200 meters|-1|-1
jDy4C7B8OwI--104|Signer01|and your parents have suffered in the war|and your parents have suffered in the war|-1|-1
jDy4C7B8OwI--179|Signer01|it shows chinese indian|it shows chinese indian|-1|-1
jDy4C7B8OwI--214|Signer01|a picture is shown|a picture is shown|-1|-1
ByGP6VSsADs--8|Signer01|if the sun does not rise in the morning|if the sun does not rise in the morning|-1|-1
ByGP6VSsADs--20|Signer01|what if i get beat up|what if i get beat up|-1|-1
ByGP6VSsADs--29|Signer01|my head starts getting smaller|my head starts getting smaller|-1|-1
ByGP6VSsADs--34|Signer01|what if the bus is late|what if the bus is late|-1|-1
ByGP6VSsADs--60|Signer01|know your country|know your country|-1|-1
3AGKPSOZMmc--1|Signer01|page number one lesson one|page number one lesson one|-1|-1
3AGKPSOZMmc--7|Signer01|lived in a forest|lived in a forest|-1|-1
3AGKPSOZMmc--29|Signer01|his way and did not know where he was|his way and did not know where he was|-1|-1
3AGKPSOZMmc--51|Signer01|he now talks as they do he does not talk to me anymore|he now talks as they do he does not talk to me anymore|-1|-1
3AGKPSOZMmc--62|Signer01|one is known by the company one keeps that|one is known by the company one keeps that|-1|-1
ovYYEWMtW9M--5|Signer01|chapter number 6|chapter number 6|-1|-1
ovYYEWMtW9M--35|Signer01|if they allowed the horse to pass it meant|if they allowed the horse to pass it meant|-1|-1
ovYYEWMtW9M--62|Signer01|we have many books|we have many books|-1|-1
ovYYEWMtW9M--164|Signer01|these are extremely fine to touch|these are extremely fine to touch|-1|-1
ovYYEWMtW9M--239|Signer01|may have had to work for a day every month for the king|may have had to work for a day every month for the king|-1|-1
zoBP39jyRMs--62|Signer01|map 7 page number|map 7 page number|-1|-1
zoBP39jyRMs--144|Signer01|looks at the women or talks about anything other than the work|looks at the women or talks about anything other than the work|-1|-1
zoBP39jyRMs--145|Signer01|he should be punished|he should be punished|-1|-1
zoBP39jyRMs--148|Signer01|make a list of all the women|make a list of all the women|-1|-1
zoBP39jyRMs--190|Signer01|europe north africa|europe north africa|-1|-1
Nn9spzBqmMs--47|Signer01|at about this time his parents died|at about this time his parents died|-1|-1
Nn9spzBqmMs--89|Signer01|we do not think tansen is a great singer|we do not think tansen is a great singer|-1|-1
Nn9spzBqmMs--102|Signer01|page number 18|page number 18|-1|-1
Nn9spzBqmMs--106|Signer01|it will bring rain|it will bring rain|-1|-1
Nn9spzBqmMs--156|Signer01|did he take to save himself|did he take to save himself|-1|-1
UbhONRGm-90--33|Signer01|would you really want to go there|would you really want to go there|-1|-1
UbhONRGm-90--52|Signer01|who was ready to set out west|who was ready to set out west|-1|-1
UbhONRGm-90--68|Signer01|it dark and i cannot see you come here and show me the way|it dark and i cannot see you come here and show me the way|-1|-1
UbhONRGm-90--99|Signer01|question number five why did vijay singh say|question number five why did vijay singh say|-1|-1
UbhONRGm-90--217|Signer01|think it was|think it was|-1|-1
nIjAEHi-6HU--8|Signer01|find out what your friend ate today|find out what your friend ate today|-1|-1
s8BUs77tQZ4--12|Signer01|imagine his surprise when he was told|imagine his surprise when he was told|-1|-1
s8BUs77tQZ4--63|Signer01|some of whose capitals are marked with red dots on the map|some of whose capitals are marked with red dots on the map|-1|-1
s8BUs77tQZ4--77|Signer01|who submitted to him and offered daughters in marriage|who submitted to him and offered daughters in marriage|-1|-1
s8BUs77tQZ4--162|Signer01|see map number 7|see map number 7|-1|-1
s8BUs77tQZ4--174|Signer01|look at political map of india and list the present day states|look at political map of india and list the present day states|-1|-1
6Ht4naTvGCE--4|Signer01|imagine a world without language|imagine a world without language|-1|-1
6Ht4naTvGCE--6|Signer01|the words we speak|the words we speak|-1|-1
6Ht4naTvGCE--10|Signer01|and die for want of a weight|and die for want of a weight|-1|-1
6Ht4naTvGCE--16|Signer01|so that they come out clear and true|so that they come out clear and true|-1|-1
6Ht4naTvGCE--32|Signer01|the following sentences in your own words|the following sentences in your own words|-1|-1
it4GglIkMLY--15|Signer01|we can choose our own rulers today how some men became|we can choose our own rulers today how some men became|-1|-1
it4GglIkMLY--48|Signer01|page number 47|page number 47|-1|-1
it4GglIkMLY--114|Signer01|who had to serve the other three groups|who had to serve the other three groups|-1|-1
it4GglIkMLY--169|Signer01|a picture is shown in the left bottom of page number 48 it shows|a picture is shown in the left bottom of page number 48 it shows|-1|-1
it4GglIkMLY--209|Signer01|had to be found for all of this on this page|had to be found for all of this on this page|-1|-1
Zc2bgIDZ-Ks--1|Signer01|page number seven lesson|page number seven lesson|-1|-1
Zc2bgIDZ-Ks--44|Signer01|and wise governor soon spread throughout the country|and wise governor soon spread throughout the country|-1|-1
